Date,Name,Group,UFC_cover,MADC_cover
10.12.2020,ISPIRITUSANTU,Alfalfa,103.7,253.4
10.12.2020,IEGADELAVEGABOULE,Alfalfa,103.4,252.3
10.12.2020,IPFLAPBOULETTE,Alfalfa,103.7,251.3
10.12.2020,IVALIENTE,Alfalfa,103.7,252.4
10.12.2020,IQUISSYOUBIBOULETTE,Alfalfa,103.5,251.4
10.13.2020,ILSOURIBOUL,Alfalfa,103.9,255.8
10.13.2020,ITARKIBOULETTE,Alfalfa,103.8,254.5
10.13.2020,ISCASHEBOUL,Alfalfa,103.6,255
10.13.2020,ILANDER,Alfalfa,103.5,254
10.13.2020,IPLATBOULETTE,Alfalfa,103.8,253.5
10.13.2020,ISPIRITUSANTU,Alfalfa,103.7,253.4
10.13.2020,IEGADELAVEGABOULE,Alfalfa,103.7,253
10.13.2020,IPFLAPBOULETTE,Alfalfa,103.5,251.4
10.13.2020,IVALIENTE,Alfalfa,96.7,228.7
10.13.2020,IQUISSYOUBIBOULETTE,Alfalfa,103.7,252.3
10.14.2020,ILSOURIBOUL,Alfalfa,103.9,255.8
10.14.2020,ITARKIBOULETTE,Alfalfa,103.8,254.5
10.14.2020,ISCASHEBOUL,Alfalfa,103.6,255
10.14.2020,ILANDER,Alfalfa,103.5,254
10.14.2020,IPLATBOULETTE,Alfalfa,103.8,253.5
10.14.2020,ISPIRITUSANTU,Alfalfa,103.7,253.4
10.14.2020,IEGADELAVEGABOULE,Alfalfa,103.7,253
10.14.2020,IPFLAPBOULETTE,Alfalfa,103.5,251.4
10.14.2020,IVALIENTE,Alfalfa,99.3,237.4
10.14.2020,IQUISSYOUBIBOULETTE,Alfalfa,103.7,252.3
10.15.2020,ILSOURIBOUL,Alfalfa,103.9,255.8
10.15.2020,ITARKIBOULETTE,Alfalfa,103.8,254.5
10.15.2020,ISCASHEBOUL,Alfalfa,103.6,255
10.15.2020,ILANDER,Alfalfa,103.5,254
10.15.2020,IPLATBOULETTE,Alfalfa,103.8,253.5
10.15.2020,ISPIRITUSANTU,Alfalfa,103.7,253.4
10.15.2020,IEGADELAVEGABOULE,Alfalfa,103.7,253
10.15.2020,IPFLAPBOULETTE,Alfalfa,103.5,251.4
